PE Type,Config,Throughput (sample/cycle),Data Transfer Latency,Programming Latency,PE Utilization,Leakage Power (W),Dynamic Power (W),DAP sub-PE
FFT,Stream-128,1,1,0,1,0.00707,0.06363,0
FFT,Stream-512,1,1,0,1,0.00909,0.08181,0
FIR,Stream,1,1,0,1,0.0036288,0.0326592,0
FIR,block7,1,1,0,1,0.0036288,0.0326592,0
FEC,viterbi_decoder,1,1,0,1,0.01,0.05885,0
FEC,turbo_decoder,1,1,0,1,0.01,0.05885,0
FEC,LDPC,1,1,0,1,0.01,0.05885,0
FEC,polar,1,1,0,1,0.01,0.05,0
DAP,matrix_mul,1,1,480,0.25,0.01,0.05,8
DAP,FIR,1,1,2560,1,0.001629091,0.014661818,32
DAP,FFT-128,1,1,280,0.4375,0.01,0.0913,14
DAP,FFT-512,1,1,360,0.5625,0.01,0.0913,18
DAP_0,FFT-128,1,1,0,0.5,0,0.00938,16
DAP_0,interleaver,1,1,0,0.5,0,0.0369,16
DAP_0,scrambler_encoder,1,1,0,0.5,0,0.0513,16
DAP_0,qpsk,1,1,0,0.5,0,0.002,16
DAP_0,pilot,1,1,0,0.5,0,0.0001,16
DAP_0,crc,1,1,0,0.5,0,0.0001,16
DAP_0,descrambler,1,1,0,0.5,0,0.0001,16
DAP_0,block1,1,1,0,0.5,0,0.42,16
DAP_0,task2,1,1,0,0.5,0,0.06,16
DAP_0,block3,1,1,0,0.5,0,0.22,16
DAP_0,block4,1,1,0,0.5,0,0.24,16
DAP_0,block5,1,1,0,0.5,0,0.24,16
DAP_0,block6,1,1,0,0.5,0,0.08,16
DAP_0,block7,1,1,0,0.5,0,0.04,16
DAP_0,block9,1,1,0,0.5,0,0.06,16
DAP_0,FFT-512,1,1,0,0.5,0,0.03752,16
DAP_0,max_detect,1,1,0,0.5,0,0.1,16
DAP_0,xcorr_comp_conj_mult,1,1,0,0.5,0,0.0232,16
DAP_0,hermitian,1,1,0,0.5,0,0.005,16
DAP_0,cmm_1,1,1,0,0.5,0,0.00761,16
DAP_0,cmm_2,1,1,0,0.5,0,0.0042,16
DAP_0,mat_inv,1,1,0,0.5,0,0.015,16
DAP_0,mat_sub,1,1,0,0.5,0,0.00344,16
DAP_1,block1,1,1,0,0.5,0,0.42,16
DAP_1,task2,1,1,0,0.5,0,0.06,16
DAP_1,block3,1,1,0,0.5,0,0.22,16
DAP_1,block4,1,1,0,0.5,0,0.24,16
DAP_1,block5,1,1,0,0.5,0,0.24,16
DAP_1,block6,1,1,0,0.5,0,0.08,16
DAP_1,block7,1,1,0,0.5,0,0.04,16
DAP_1,block9,1,1,0,0.5,0,0.06,16
DAP_1,FFT-128,1,1,0,0.5,0,0.00938,16
DAP_1,interleaver,1,1,0,0.5,0,0.0369,16
DAP_1,scrambler_encoder,1,1,0,0.5,0,0.0513,16
DAP_1,qpsk,1,1,0,0.5,0,0.002,16
DAP_1,pilot,1,1,0,0.5,0,0.0001,16
DAP_1,crc,1,1,0,0.5,0,0.0001,16
DAP_1,descrambler,1,1,0,0.5,0,0.0001,16
DAP_1,FFT-512,1,1,0,0.5,0,0.03752,16
DAP_1,max_detect,1,1,0,0.5,0,0.1,16
DAP_1,xcorr_comp_conj_mult,1,1,0,0.5,0,0.0232,16
DAP_1,hermitian,1,1,0,0.5,0,0.005,16
DAP_1,cmm_1,1,1,0,0.5,0,0.00761,16
DAP_1,cmm_2,1,1,0,0.5,0,0.0042,16
DAP_1,mat_inv,1,1,0,0.5,0,0.015,16
DAP_1,mat_sub,1,1,0,0.5,0,0.00344,16
GPU_1,conv2d,1,1,0,1,0,0,0
GPU_1,relu,1,1,0,1,0,0,0
GPU_1,maxpool2d,1,1,0,1,0,0,0
GPU_1,bn2d,1,1,0,1,0,0,0
GPU_1,linear,1,1,0,1,0,0,0
GPU_1,adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_1,embedding,1,1,0,1,0,0,0
GPU_1,gelu,1,1,0,1,0,0,0
GPU_1,softmax,1,1,0,1,0,0,0
GPU_1,layernorm,1,1,0,1,0,0,0
GPU_1,batchedgemm,1,1,0,1,0,0,0
GPU_1,conv2d_relu,1,1,0,1,0,0,0
GPU_1,linear_relu,1,1,0,1,0,0,0
GPU_1,bn2d_relu,1,1,0,1,0,0,0
GPU_1,bn2d_relu_adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_1,bn2d_add_relu,1,1,0,1,0,0,0
GPU_1,bn2d_bn2d_add_relu,1,1,0,1,0,0,0
GPU_1,bn2d_bn2d_add_relu_adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_1,relu_maxpool2d,1,1,0,1,0,0,0
GPU_1,conv2d_bn2d_relu_conv2d_bn2d_relu_conv2d_bn2d_relu,1,1,0,1,0,0,0
GPU_1,conv2d_bn2d_relu_conv2d_bn2d,1,1,0,1,0,0,0
GPU_1,conv2d_bn2d_add_relu,1,1,0,1,0,0,0
GPU_1,conv2d_bn2d_relu_pool2d_linear_add,1,1,0,1,0,0,0
GPU_1,relu_maxpool2d_adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_2,conv2d,1,1,0,1,0,0,0
GPU_2,relu,1,1,0,1,0,0,0
GPU_2,maxpool2d,1,1,0,1,0,0,0
GPU_2,bn2d,1,1,0,1,0,0,0
GPU_2,linear,1,1,0,1,0,0,0
GPU_2,adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_2,embedding,1,1,0,1,0,0,0
GPU_2,gelu,1,1,0,1,0,0,0
GPU_2,softmax,1,1,0,1,0,0,0
GPU_2,layernorm,1,1,0,1,0,0,0
GPU_2,batchedgemm,1,1,0,1,0,0,0
GPU_3,conv2d,1,1,0,1,0,0,0
GPU_3,relu,1,1,0,1,0,0,0
GPU_3,conv2d_relu,1,1,0,1,0,0,0
GPU_3,maxpool2d,1,1,0,1,0,0,0
GPU_3,bn2d,1,1,0,1,0,0,0
GPU_3,linear,1,1,0,1,0,0,0
GPU_3,adaptive_avg_pool2d,1,1,0,1,0,0,0
GPU_3,embedding,1,1,0,1,0,0,0
GPU_3,gelu,1,1,0,1,0,0,0
GPU_3,softmax,1,1,0,1,0,0,0
GPU_3,layernorm,1,1,0,1,0,0,0
GPU_3,batchedgemm,1,1,0,1,0,0,0
GPU_3,linear_relu,1,1,0,1,0,0,0
GPU_3,bn2d_relu,1,1,0,1,0,0,0
GPU_3,bn2d_add_relu,1,1,0,1,0,0,0
GPU_3,bn2d_bn2d_add_relu,1,1,0,1,0,0,0
